PARA,DES
ZINST76,S/G 3 LEVEL(NARROW)        
ZINST77,S/G 2 LEVEL(NARROW)        
ZINST78,S/G 1 LEVEL(NARROW)        
ZINST85,STEAM LINE 3 FLOW        
ZINST86,STEAM LINE 2 FLOW        
ZINST87,STEAM LINE 1 FLOW        
ZINST98,MAIN STEAM HEADER PRESS SETP.    
ZINST99,MAIN STEAM HEADER PRESSURE       
ZPRZNO,NORMALIZED PRZ LEVEL (0.0-1.0).
ZPRZSP,PRZ LEVEL CONTROL SETPOINT.
ZPRZUN,PRZ UNCOMPENSATED LEVEL (M).
ZSGNOR1,NORMALIZED S/G #1 NARROW LEVEL (0.0 - 1.0).
ZSGNOR2,NORMALIZED S/G #2 NARROW LEVEL (0.0 - 1.0).
ZSGNOR3,NORMALIZED S/G #3 NARROW LEVEL (0.0 - 1.0).
ZVCT,VOLUME CONTROL TANK LEVEL.
KBCDO22,GENERATOR OUTPUT MW
